County	Soil Code	Soil Description	Soil Description
Fayette County	497G	Fayette-Dubuque-Jacwin complex, 25 to 40 percent slopes	12
Fayette County	499B	Nordness silt loam, 2 to 5 percent slopes	5
Fayette County	499D	Nordness silt loam, 5 to 14 percent slopes	5
Fayette County	499F	Nordness silt loam, 14 to 25 percent slopes	5
Fayette County	512B	Marlean loam, 2 to 5 percent slopes	60
Fayette County	512D	Marlean loam, 5 to 14 percent slopes	36
Fayette County	536	Hanlon fine sandy loam, 0 to 2 percent slopes	70
Fayette County	551	Calamine silty clay loam, 1 to 3 percent slopes	56
Fayette County	582B	Kasson loam, 2 to 5 percent slopes	75
Fayette County	620B	Tama silt loam, driftless, 2 to 6 percent slopes	95
Fayette County	626	Hayfield loam, 0 to 2 percent slopes, rarely flooded	53
Fayette County	703C	Dubuque silt loam, 5 to 9 percent slopes	40
Fayette County	703D2	Dubuque silt loam, 9 to 14 percent slopes, moderately eroded	13
Fayette County	703E	Dubuque silt loam, 14 to 18 percent slopes	8
Fayette County	703E2	Dubuque silt loam, 14 to 18 percent slopes, moderately eroded	8
Fayette County	703F	Dubuque silt loam, 18 to 25 percent slopes	6
Fayette County	714	Winneshiek loam, 20 to 30 inches to limestone, 0 to 2 percent slopes	47
Fayette County	714B	Winneshiek loam, 20 to 30 inches to limestone, 2 to 5 percent slopes	42
Fayette County	714C	Winneshiek loam, 20 to 30 inches to limestone, 5 to 9 percent slopes	37
Fayette County	714D	Winneshiek loam, 20 to 30 inches to limestone, 9 to 14 percent slopes	13
Fayette County	763D2	Exette silt loam, 9 to 14 percent slopes, moderately eroded	58
Fayette County	763E2	Exette silt loam, 14 to 18 percent slopes, moderately eroded	46
Fayette County	763E3	Exette silt loam, 14 to 18 percent slopes, severely eroded	40
Fayette County	763F2	Exette silt loam, 18 to 25 percent slopes, moderately eroded	28
Fayette County	763F3	Exette silt loam, 18 to 25 percent slopes, severely eroded	22
Fayette County	777	Wapsie loam, 0 to 2 percent slopes	49
Fayette County	777B	Wapsie loam, 2 to 5 percent slopes	45
Fayette County	777C	Wapsie loam, 5 to 9 percent slopes	40
Fayette County	778	Sattre loam, 0 to 2 percent slopes, Rarely Flooded	54
Fayette County	781B	Lourdes loam, 2 to 5 percent slopes	68
Fayette County	781C	Lourdes loam, 5 to 9 percent slopes	70
Fayette County	782	Donnan loam, 0 to 2 percent slopes	48
Fayette County	782B	Donnan loam, 2 to 5 percent slopes	43
Fayette County	782C	Donnan loam, 5 to 9 percent slopes	38
Fayette County	783B	Cresco loam, 2 to 5 percent slopes	73
Fayette County	783C	Cresco loam, 5 to 9 percent slopes	79
Fayette County	784B	Riceville loam, 1 to 4 percent slopes	69
Fayette County	798B	Protivin loam, 1 to 4 percent slopes	61
Fayette County	926	Canoe silt loam, 0 to 2 percent slopes	88
Fayette County	977B	Richwood silt loam, 1 to 6 percent slopes	90
Fayette County	978B2	Festina silt loam, 1 to 6 percent slopes, moderately eroded	84
Fayette County	1152	Marshan clay loam, 0 to 2 percent slopes, rarely flooded	54
Fayette County	1226	Lawler loam, 0 to 2 percent slopes, rarely flooded	59
Fayette County	1585	Spillville-Coland-Shandep complex, 0 to 2 percent slopes, frequently flooded	5
Fayette County	1936	Spillville-Udifluvents complex, channeled, 0 to 2 percent slopes	25
Fayette County	2153	Shandep clay loam, 0 to 2 percent slopes, ponded, occasionally flooded	21
Fayette County	5010	Pits, sand and gravel	
Fayette County	5030	Pits, limestone quarry	
Fayette County	5040	Anthroportic Udorthents, 2 to 9 percent slopes	5
Fayette County	5080	Anthroportic Udorthents, sanitary landfill	5
Fayette County	C135	Coland clay loam, channeled, 0 to 2 percent slopes	18
Fayette County	C158	Dorchester silt loam, channeled, 0 to 2 percent slopes	32
Fayette County	RIVER	Water, rivers and streams	
Fayette County	W	Water	
Fayette County	WL	Water, waste lagoon	
Floyd County	27	Terril loam, 0 to 2 percent slopes	95
Floyd County	27B	Terril loam, 2 to 5 percent slopes	89
Floyd County	41B	Sparta loamy fine sand, 2 to 5 percent slopes	39
Floyd County	43	Bremer silty clay loam, 0 to 2 percent slopes, rarely flooded	79
Floyd County	63C	Chelsea loamy fine sand, 2 to 9 percent slopes	14
Floyd County	83	Kenyon loam, 0 to 2 percent slopes	96
Floyd County	83B	Kenyon loam, 2 to 5 percent slopes	90
Floyd County	83C	Kenyon loam, 5 to 9 percent slopes	85
Floyd County	83C2	Kenyon loam, 5 to 9 percent slopes, eroded	84
Floyd County	84	Clyde silty clay loam, 0 to 3 percent slopes	88
Floyd County	88	Nevin slilt clay loam, 0 to 2 percent slopes	95
Floyd County	96	Turlin loam, 0 to 2 percent slopes	94
Floyd County	110B	Lamont fine sandy loam, 2 to 5 percent slopes	52
Floyd County	110C	Lamont fine sandy loam, 5 to 9 percent slopes	47
Floyd County	135	Coland clay loam, 0 to 2 percent slopes, occasionally flooded	65
Floyd County	171	Bassett loam, 0 to 2 percent slopes	90
Floyd County	171B	Bassett loam, 2 to 5 percent slopes	85
Floyd County	171C	Bassett loam, 5 to 9 percent slopes	80
Floyd County	171C2	Bassett loam, 5 to 9 percent slopes, eroded	77
Floyd County	171D2	Bassett loam, 9 to 14 percent slopes, eroded	54
Floyd County	174	Bolan loam, 0 to 2 percent slopes	70
Floyd County	174B	Bolan loam, 2 to 5 percent slopes	64
Floyd County	174C	Bolan loam, 5 to 9 percent slopes	59
Floyd County	175B	Dickinson fine sandy loam, 2 to 5 percent slopes	50
Floyd County	175C	Dickinson fine sandy loam, 5 to 9 percent slopes	45
Floyd County	177	Saude loam, 0 to 2 percent slopes	60
Floyd County	177B	Saude loam, 2 to 5 percent slopes	55
Floyd County	177C	Saude loam, 5 to 9 percent slopes	50
Floyd County	178	Waukee loam, 0 to 2 percent slopes	69
Floyd County	178B	Waukee loam, 2 to 5 percent slopes	64
Floyd County	184	Klinger silty clay loam, 1 to 4 percent slopes	95
Floyd County	188	Kensett loam, 0 to 2 percent slopes	57
Floyd County	194	Norville silty clay loam, 0 to 2 percent slopes	90
Floyd County	194B	Norville silty clay loam, 2 to 5 percent slopes	80
Floyd County	194C3	Norville silt loam, 5 to 9 percent slopes, severely eroded	70
Floyd County	198	Floyd loam, 0 to 2 percent slopes	94
Floyd County	198B	Floyd loam, 1 to 4 percent slopes	89
Floyd County	201B	Coland, occasionally flooded-Terril complex, 1 to 4 percent slopes	78
Floyd County	213	Rockton loam, 30 to 40 inches to limestone, till plain, 0 to 2 percent slopes	54
Floyd County	213B	Rockton loam, 30 to 40 inches to limestone, till plain, 2 to 5 percent slopes	49
Floyd County	214	Rockton loam, 20 to 30 inches to limestone, till plain, 0 to 2 percent slopes	52
Floyd County	214B	Rockton loam, 20 to 30 inches to limestone, till plain, 2 to 5 percent slopes	47
Floyd County	214C	Rockton loam, 20 to 30 inches to limestone, till plain, 5 to 9 percent slopes	40
Floyd County	214C2	Rockton loam, 20 to 30 inches to limestone, till plain, 5 to 9 percent slopes, eroded	29
Floyd County	216B	Ripon silt loam, 20 to 30 inches to limestone, 1 to 5 percent slopes	51
Floyd County	217	Ripon silt loam, 30 to 40 inches to limestone, 0 to 2 percent slopes	62
Floyd County	217B	Ripon silt loam, 30 to 40 inches to limestone, 1 to 5 percent slopes	58
Floyd County	221B	Klossner muck, 1 to 4 percent slopes	48
Floyd County	235	Coland-Turlin complex, 0 to 2 percent slopes	81
Floyd County	284	Flagler sandy loam, 0 to 2 percent slopes	56
Floyd County	284B	Flagler sandy loam, 2 to 5 percent slopes	49
Floyd County	284C	Flagler sandy loam, 5 to 9 percent slopes	44
Floyd County	285B	Burkhardt sandy loam, 2 to 5 percent slopes	17
Floyd County	285C	Burkhardt sandy loam, 5 to 9 percent slopes	13
Floyd County	285F	Burkhardt sandy loam, 14 to 30 percent slopes	5
Floyd County	302B	Coggon loam, 2 to 5 percent slopes	72
Floyd County	302C	Coggon loam, 5 to 9 percent slopes	71
Floyd County	303	Pinicon silt loam, 0 to 2 percent slopes	80
Floyd County	323B	Fort Dodge loam, 2 to 5 percent slopes	79
Floyd County	377	Dinsdale silty clay loam, 0 to 2 percent slopes	99
Floyd County	377B	Dinsdale silty clay loam, 2 to 5 percent slopes	94
Floyd County	391B	Clyde-Floyd complex, 1 to 4 percent slopes	87
Floyd County	394	Ostrander loam, 0 to 2 percent slopes	94
Floyd County	394B	Ostrander loam, 2 to 5 percent slopes	88
Floyd County	394C	Ostrander loam, 5 to 9 percent slopes	83
Floyd County	394C2	Ostrander loam, 5 to 9 percent slopes, eroded	73
Floyd County	398	Tripoli clay loam, 0 to 2 percent slopes	82
Floyd County	399	Readlyn silt loam, 1 to 3 percent slopes	91
Floyd County	407B	Schley silt loam, 1 to 4 percent slopes	81
Floyd County	408B	Olin sandy loam, 2 to 5 percent slopes	64
Floyd County	412C	Emeline loam, 2 to 9 percent slopes	7
Floyd County	412E	Emeline loam, 9 to 18 percent slopes	5
Floyd County	412G	Emeline loam, 18 to 40 percent slopes	5
Floyd County	444B	Jacwin silty clay loam, 1 to 5 percent slopes	63
Floyd County	457	Du Page loam, 0 to 2 percent slopes	88
Floyd County	471	Oran loam, 0 to 2 percent slopes	79
Floyd County	471B	Oran loam, 2 to 5 percent slopes	74
Floyd County	482	Racine silt loam, 0 to 2 percent slopes	87
Floyd County	482B	Racine loam, 2 to 5 percent slopes	76
Floyd County	482C	Racine loam, 5 to 9 percent slopes	77
Floyd County	482C2	Racine loam, 5 to 9 percent slopes, moderately eroded	78
Floyd County	485	Spillville loam, 0 to 2 percent slopes, occasionally flooded	76
Floyd County	491B	Renova silt loam, 1 to 5 percent slopes	76
Floyd County	507	Canisteo silty clay loam, 0 to 2 percent slopes	90
Floyd County	535	Shellwood sandy loam, 0 to 3 percent slopes	70
Floyd County	536	Hanlon fine sandy loam, 0 to 2 percent slopes	70
Floyd County	537	Du Page-Calco complex, 0 to 2 percent slopes	86
Floyd County	551	Calamine silty clay loam, 0 to 3 percent slopes	56
Floyd County	559	Talcot clay loam, 32 to 40 inches to sand and gravel, 0 to 2 percent slopes	54
Floyd County	585	Coland-Spillville complex, 0 to 2 percent slopes, occasionally flooded	70
Floyd County	595	Harpster silty clay loam, 0 to 2 percent slopes	78
Floyd County	612B	Mottland loam, 2 to 5 percent slopes	58
Floyd County	612C2	Mottland loam, 5 to 9 percent slopes, moderately eroded	54
Floyd County	612D2	Mottland loam, 9 to 14 percent slopes, moderately eroded	28
Floyd County	612E2	Mottland loam, 9 to 18 percent slopes, moderately eroded	21
Floyd County	612G2	Mottland loam, 18 to 40 percent slopes, moderately eroded	7
Floyd County	613	Rossfield silt loam, 0 to 2 percent slopes	94
Floyd County	613B	Rossfield silt loam, 2 to 5 percent slopes	85
Floyd County	614C3	Jacwin variant silty clay loam, 5 to 9 percent slopes, severly eroded	54
Floyd County	616	Aureola loam, 0 to 2 percent slopes	60
Floyd County	616B	Aureola loam, 2 to 5 percent slopes	55
Floyd County	616C2	Aureola sandy loam, 5 to 9 percent slopes, moderately eroded	47
Floyd County	616D2	Aureola sandy loam, 9 to 16 percent slopes, moderately eroded	18
Floyd County	626	Hayfield loam, 0 to 2 percent slopes, rarely flooded	53
Floyd County	631	Limecreek silty clay loam, 0 to 2 percent slopes	96
Floyd County	631B	Limecreek silty clay loam, 2 to 5 percent slopes	89
Floyd County	631C	Limecreek silty clay loam, 5 to 9 percent slopes	84
Floyd County	651	Faxon silty clay loam, 0 to 2 percent slopes	48
Floyd County	662B	Mt. Carroll silt loam, 2 to 5 percent slopes	90
Floyd County	682	Maxfield silt loam, 0 to 2 percent slopes	83
Floyd County	697	Rocksan silty clay loam, 0 to 2 percent slopes	64
Floyd County	713	Winneshiek silt loam, 30 to 40 inches to limestone, till plain, 0 to 2 percent slopes	51
Floyd County	713B	Winneshiek silt loam, 30 to 40 inches to limestone, till plain, 2 to 5 percent slopes	44
Floyd County	714B	Winneshiek silt loam, 20 to 30 inches to limestone, till plain, 2 to 5 percent slopes	42
Floyd County	714C	Winneshiek silt loam, 20 to 30 inches to limestone, till plain, 5 to 9 percent slopes	37
Floyd County	733	Calco silty clay loam, 0 to 2 percent slopes	78
Floyd County	761	Franklin silt loam, 1 to 3 percent slopes	85
Floyd County	771	Waubeek silt loam, 0 to 2 percent slopes	93
Floyd County	771B	Waubeek silt loam, 2 to 5 percent slopes	89
Floyd County	776C	Lilah sandy loam, 3 to 9 percent slopes	5
Floyd County	777	Wapsie loam, 0 to 2 percent slopes	51
Floyd County	777B	Wapsie loam, 2 to 5 percent slopes	48
Floyd County	777C	Wapsie loam, 5 to 9 percent slopes	43
Floyd County	781B	Lourdes loam, 2 to 5 percent slopes	68
Floyd County	781C	Lourdes loam, 5 to 9 percent slopes	71
Floyd County	781C2	Lourdes loam, 5 to 9 percent slopes, moderately eroded	68
Floyd County	782	Donnan loam, 0 to 2 percent slopes	48
Floyd County	782B	Donnan loam, 2 to 5 percent slopes	43
Floyd County	783B	Cresco loam, 2 to 5 percent slopes	73
Floyd County	783C	Cresco loam, 5 to 9 percent slopes	81
Floyd County	783C2	Cresco loam, 5 to 9 percent slopes, moderately eroded	78
Floyd County	784B	Riceville silt loam, 1 to 4 percent slopes	68
Floyd County	789	Oakton loam, 0 to 2 percent slopes	50
Floyd County	797	Jameston silty clay loam, 0 to 2 percent slopes	73
Floyd County	798B	Protivin loam, 1 to 4 percent slopes	61
Floyd County	806B	Whalan silt loam, till plain, 2 to 5 percent slopes	36
Floyd County	976	Raddle silt loam, 0 to 2 percent slopes	100
Floyd County	1152	Marshan clay loam, 0 to 2 percent slopes, rarely flooded	54
Floyd County	1226	Lawler loam, 0 to 2 percent slopes, rarely flooded	59
Floyd County	1537	Du Page-Shellwood-Calco complex, channeled, 0 to 3 percent slopes	24
Floyd County	1936	Spillville-Hanlon-Coland complex, channeled, 0 to 3 percent slopes	29
Floyd County	2153	Shandep clay loam, 0 to 2 percent slopes, ponded, occasionally flooded	21
Floyd County	4000	Urban land	
Floyd County	5010	Pits, sand and gravel	
Floyd County	5030	Pits, limestone quarry	
Floyd County	5040	Anthroportic Udorthents, 2 to 9 percent slopes	5
Floyd County	5060	Pits, clay	
Floyd County	5080	Anthroportic Udorthents, sanitary landfill	5
Floyd County	LAKE	Water, lakes and reservoirs	
Floyd County	RIVER	Water, rivers and streams	
Floyd County	W	Water	
Floyd County	WL	Water, waste lagoon	
Franklin County	6	Okoboji silty clay loam, 0 to 1 percent slopes	59
Franklin County	8B	Judson silty clay loam, 2 to 5 percent slopes	94
Franklin County	11B	Colo-Ely complex, 0 to 5 percent slopes	86
Franklin County	27B	Terril loam, 2 to 6 percent slopes	87
Franklin County	41B	Sparta loamy fine sand, 2 to 5 percent slopes	39
Franklin County	55	Nicollet clay loam, 1 to 3 percent slopes	89
Franklin County	62D2	Storden loam, 10 to 16 percent slopes, moderately eroded	41
Franklin County	73C	Hawick gravelly sandy loam, 6 to 12 percent slopes	31
Franklin County	83B	Kenyon loam, 2 to 5 percent slopes	90
Franklin County	83C2	Kenyon loam, 5 to 9 percent slopes, eroded	84
Franklin County	83D	Kenyon loam, 9 to 14 percent slopes	63
Franklin County	83F	Kenyon loam, 14 to 24 percent slopes	39
Franklin County	84	Clyde silty clay loam, 0 to 3 percent slopes	88
Franklin County	90	Okoboji mucky silt loam, 0 to 1 percent slopes	56
Franklin County	95	Harps clay loam, 0 to 2 percent slopes	72
Franklin County	96	Turlin loam, 0 to 2 percent slopes	90
Franklin County	107	Webster clay loam, 0 to 2 percent slopes	86
Franklin County	118	Garwin silty clay loam, 0 to 2 percent slopes	90
Franklin County	119	Muscatine silty clay loam, 0 to 2 percent slopes	100
Franklin County	120B	Tama silty clay loam, 2 to 5 percent slopes	95
Franklin County	133	Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded	78
Franklin County	135	Coland clay loam, 0 to 2 percent slopes, occasionally flooded	76
Franklin County	138B	Clarion loam, 2 to 6 percent slopes	89
Franklin County	138C2	Clarion loam, 6 to 10 percent slopes, moderately eroded	83
Franklin County	138D2	Clarion loam, 9 to 14 percent slopes, moderately eroded	56
Franklin County	153	Shandep loam, 0 to 1 percent slopes	48
Franklin County	174	Bolan loam, 0 to 2 percent slopes	70
Franklin County	174B	Bolan loam, 2 to 5 percent slopes	64
Franklin County	174C	Bolan loam, 5 to 9 percent slopes	59
Franklin County	175B	Dickinson fine sandy loam, 2 to 5 percent slopes	50
Franklin County	175C	Dickinson fine sandy loam, 5 to 9 percent slopes	45
Franklin County	177	Saude loam, 0 to 2 percent slopes	60
Franklin County	177B	Saude loam, 2 to 5 percent slopes	55
Franklin County	177C	Saude loam, 5 to 9 percent slopes	50
Franklin County	178	Waukee loam, 0 to 2 percent slopes	69
Franklin County	178B	Waukee loam, 2 to 5 percent slopes	64
Franklin County	184	Klinger silty clay loam, 1 to 4 percent slopes	95
Franklin County	198B	Floyd loam, 1 to 4 percent slopes	89
Franklin County	201B	Coland-Terril complex, 1 to 5 percent slopes	79
Franklin County	213B	Rockton loam, 30 to 40 inches to limestone, till plain, 2 to 5 percent slopes	49
Franklin County	214B	Rockton loam, 20 to 30 inches to limestone, till plain, 2 to 5 percent slopes	47
Franklin County	214C2	Rockton loam, 20 to 30 inches to limestone, till plain, 5 to 9 percent slopes, eroded	29
Franklin County	216C2	Ripon silt loam, 20 to 30 inches to limestone, 5 to 9 percent slopes, moderately eroded	48
Franklin County	217B	Ripon silt loam, 30 to 40 inches to limestone, 2 to 5 percent slopes	57
Franklin County	221	Klossner muck, 0 to 1 percent slopes	32
Franklin County	236D2	Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded	49
Franklin County	236F	Lester loam, Bemis moraine, 10 to 22 percent slopes	36
Franklin County	284B	Flagler sandy loam, 1 to 5 percent slopes	51
Franklin County	284C	Flagler sandy loam, 5 to 9 percent slopes	46
Franklin County	329	Webster-Nicollet complex, 0 to 3 percent slopes	87
Franklin County	335	Harcot loam, 0 to 2 percent slopes	38
Franklin County	373C2	Tallula silt loam, 5 to 9 percent slopes, moderately eroded	76
Franklin County	373D2	Tallula silt loam, 9 to 14 percent slopes, moderately eroded	50
Franklin County	377	Dinsdale silty clay loam, 0 to 2 percent slopes	99
Franklin County	377B	Dinsdale silty clay loam, 2 to 5 percent slopes	94
Franklin County	377C	Dinsdale silty clay loam, 5 to 9 percent slopes	90
Franklin County	377C2	Dinsdale silty clay loam, 5 to 9 percent slopes, eroded	85
Franklin County	382	Maxfield silty clay loam, 0 to 2 percent slopes	87
Franklin County	391B	Clyde-Floyd complex, 1 to 4 percent slopes	87
Franklin County	394	Ostrander loam, 0 to 2 percent slopes	94
Franklin County	394B	Ostrander loam, 2 to 5 percent slopes	88
Franklin County	398	Tripoli clay loam, 0 to 2 percent slopes	82
Franklin County	399	Readlyn silt loam, 1 to 3 percent slopes	91
Franklin County	407B	Schley silt loam, 1 to 4 percent slopes	81
Franklin County	426	Aredale loam, 0 to 2 percent slopes	94
Franklin County	426B	Aredale loam, 2 to 5 percent slopes	91
Franklin County	426C	Aredale loam, 5 to 9 percent slopes	86
Franklin County	426C2	Aredale loam, 5 to 9 percent slopes, moderately eroded	83
Franklin County	428B	Ely silty clay loam, 2 to 5 percent slopes	88
Franklin County	444B	Jacwin loam, 1 to 5 percent slopes	80
Franklin County	444C2	Jacwin loam, 5 to 9 percent slopes, moderately eroded	72
Franklin County	485	Spillville loam, 0 to 2 percent slopes, occasionally flooded	76
Franklin County	506	Wacousta silt loam, 0 to 1 percent slopes	74
Franklin County	507	Canisteo clay loam, 0 to 2 percent slopes	84
Franklin County	512C	Marlean loam, 2 to 9 percent slopes	50
Franklin County	512E	Marlean loam, 9 to 18 percent slopes	18
Franklin County	512G	Marlean loam, 18 to 40 percent slopes	5
Franklin County	551	Calamine silty clay loam, 1 to 3 percent slopes	55
Franklin County	559	Talcot clay loam, 32 to 40 inches to sand and gravel, 0 to 2 percent slopes	34
Franklin County	595	Harpster silty clay loam, 0 to 2 percent slopes	78
Franklin County	612C2	Mottland loam, 5 to 9 percent slopes, moderately eroded	53
Franklin County	612E2	Mottland loam, 9 to 18 percent slopes, moderately eroded	21
Franklin County	613	Rossfield silt loam, 0 to 2 percent slopes	96
Franklin County	613B	Rossfield silt loam, 2 to 5 percent slopes	91
Franklin County	613C	Rossfield silt loam, 5 to 9 percent slopes	86
Franklin County	613C2	Rossfield silt loam, 5 to 9 percent slopes, moderately eroded	83
Franklin County	613D2	Rossfield silt loam, 9 to 14 percent slopes, moderately eroded	57
Franklin County	620B	Port Byron silt loam, 2 to 5 percent slopes	95
Franklin County	620C	Port Byron silt loam, 5 to 9 percent slopes	90
Franklin County	620C2	Port Byron silt loam, 5 to 9 percent slopes, moderately eroded	87
Franklin County	620D2	Port Byron silt loam, 9 to 14 percent slopes, moderately eroded	61
Franklin County	620E2	Port Byron silt loam, 14 to 20 percent slopes, moderately erode	46
Franklin County	621	Houghton muck, 0 to 1 percent slopes	19
Franklin County	638C2	Clarion-Storden complex, 6 to 10 percent slopes, moderately eroded	75
Franklin County	662C2	Mt. Carroll silt loam, 5 to 9 percent slopes, moderatly eroded	82
Franklin County	662D	Mt. Carroll silt loam, 9 to 14 percent slopes	57
Franklin County	662D3	Mt. Carroll silt loam, 9 to 14 percent slopes, severely eroded	47
Franklin County	662F	Mt. Carroll silt loam, 14 to 25 percent slopes	34
Franklin County	682	Maxfield silt loam, 0 to 2 percent slopes	83
Franklin County	733	Calco silty clay loam, 0 to 2 percent slopes, occasionaly flooded	78
Franklin County	760	Ansgar silt loam, 0 to 2 percent slopes	85
Franklin County	761	Franklin silt loam, 1 to 3 percent slopes	85
Franklin County	771B	Waubeek silt loam, 2 to 5 percent slopes	89
Franklin County	771C	Waubeek silt loam, 5 to 9 percent slopes	85
Franklin County	782B	Donnan silt loam, 2 to 5 percent slopes	43
Franklin County	782C2	Donnan silt loam, 5 to 9 percent slopes, moderately eroded	36
Franklin County	828B	Zenor sandy loam, 2 to 5 percent slopes	51
Franklin County	828C	Zenor sandy loam, 5 to 14 percent slopes	28
Franklin County	933	Sawmill silty clay loam, shallow loess, 0 to 2 percent slopes, occasionally flooded	78
Franklin County	956	Harps-Okoboji complex, 0 to 2 percent slopes	69
Franklin County	981B	Worthen silt loam, 2 to 5 percent slopes	94
Franklin County	1135	Coland clay loam, 0 to 2 percent slopes, frequently flooded	13
Franklin County	1152	Marshan clay loam, 0 to 2 percent slopes, rarely flooded	54
Franklin County	1173	Hoopeston variant sandy loam, 1 to 3 percent slopes	56
Franklin County	1226	Lawler loam, 0 to 2 percent slopes, rarely flooded	59
Franklin County	1585	Spillville-Coland complex, 0 to 2 percent slopes, frequently flooded	22
Franklin County	2153	Shandep clay loam, 0 to 2 percent slopes, ponded, occasionally flooded	21
Franklin County	5010	Pits, sand and gravel	
Franklin County	5030	Pits, limestone quarry	
Franklin County	5040	Anthroportic Udorthents, 2 to 9 percent slopes	5
Franklin County	5080	Anthroportic Udorthents, sanitary landfill	5
Franklin County	L55	Nicollet loam, 1 to 3 percent slopes	91
Franklin County	L62C2	Storden loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded	64
Franklin County	L62D2	Storden loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded	41
Franklin County	L62E2	Storden loam, Bemis moraine, 10 to 22 percent slopes, moderately eroded	32
Franklin County	L95	Harps clay loam, Bemis moraine, 0 to 2 percent slopes	75
Franklin County	L107	Webster clay loam, Bemis moraine, 0 to 2 percent slopes	88
Franklin County	L138B	Clarion loam, Bemis moraine, 2 to 6 percent slopes	88
Franklin County	L138C2	Clarion loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded	83
Franklin County	L236B	Lester loam, Bemis moraine, 2 to 6 percent slopes	85
Franklin County	L236C	Lester loam, Bemis moraine, 6 to 10 percent slopes	81
Franklin County	L329	Webster-Nicollet complex, Bemis moraine, 0 to 3 percent slopes	89
Franklin County	L507	Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes	87
Franklin County	L638C2	Clarion-Storden complex, Bemis moraine, 6 to 10 percent slopes, moderately eroded	75
Franklin County	L638D2	Omsrud-Storden complex, Bemis moraine, 10 to 16 percent slopes, moderately eroded	53
Franklin County	L956	Harps-Okoboji complex, Bemis moraine, 0 to 2 percent slopes	69
Franklin County	RIVER	Water, rivers and streams	
Franklin County	W	Water	
Franklin County	WL	Water, waste lagoon	
Fremont County	1D	Ida silt loam, 9 to 14 percent slopes	41
Fremont County	1D3	Ida silt loam, 9 to 14 percent slopes, severely eroded	32
Fremont County	1E	Ida silt loam, 14 to 20 percent slopes	25
Fremont County	1E3	Ida silt loam, 14 to 20 percent slopes, severely eroded	18
Fremont County	1F	Ida silt loam, 20 to 30 percent slopes	7
Fremont County	1F3	Ida silt loam, 20 to 30 percent slopes, severely eroded	8
Fremont County	1G	Ida silt loam, 30 to 40 percent slopes	6
Fremont County	2G	Hamburg silt loam, 40 to 75 percent slopes	5
Fremont County	3E	Castana silt loam, 9 to 20 percent slopes	45
Fremont County	8B	Judson silty clay loam, deep loess, 2 to 5 percent slopes	92
Fremont County	9A	Marshall silty clay loam, 0 to 2 percent slopes	98
Fremont County	9B	Marshall silty clay loam, 2 to 5 percent slopes	95
Fremont County	9B2	Marshall silty clay loam, 2 to 5 percent slopes, eroded	92
Fremont County	9C	Marshall silty clay loam, 5 to 9 percent slopes	89
Fremont County	9C2	Marshall silty clay loam, 5 to 9 percent slopes, eroded	87
Fremont County	9D	Marshall silty clay loam, 9 to 14 percent slopes	64
Fremont County	9D2	Marshall silty clay loam, 9 to 14 percent slopes, eroded	61
Fremont County	9D3	Marshall silty clay loam, 9 to 14 percent slopes, severely eroded	54
Fremont County	10A	Monona silt loam, 0 to 2 percent slopes	100
Fremont County	10B	Monona silt loam, 2 to 5 percent slopes	95
Fremont County	10C	Monona silt loam, 5 to 9 percent slopes	89
Fremont County	10C2	Monona silt loam, 5 to 9 percent slopes, eroded	86
Fremont County	10C3	Monona silt loam, 5 to 9 percent slopes, severely eroded	79
Fremont County	10D	Monona silt loam, 9 to 14 percent slopes	63
Fremont County	10D2	Monona silt loam, 9 to 14 percent slopes, eroded	60
Fremont County	10D3	Monona silt loam, 9 to 14 percent slopes, severely eroded	53
Fremont County	10E	Monona silt loam, 14 to 20 percent slopes	48
Fremont County	10E2	Monona silt loam, 14 to 20 percent slopes, eroded	45
Fremont County	10E3	Monona silt loam, 14 to 20 percent slopes, severely eroded	38
Fremont County	10F2	Monona silt loam, 20 to 30 percent slopes, eroded	24
Fremont County	11B	Colo-Judson silty clay loams, 0 to 5 percent slopes, occasionally flooded	80
Fremont County	12B	Napier silt loam, 2 to 5 percent slopes	93
Fremont County	12C	Napier silt loam, 5 to 9 percent slopes	89
Fremont County	22D	Dow silt loam, 9 to 14 percent slopes	36
Fremont County	27C	Terril loam, 3 to 8 percent slopes	85
Fremont County	33F	Steinauer loam, 18 to 25 percent slopes	5
Fremont County	36	Salix silty clay loam	98
Fremont County	44	Blencoe silty clay	86
Fremont County	46	Keg silt loam	98
Fremont County	49	Waubonsie fine sandy loam	68
Fremont County	53	Riverwash, 1 to 3 percent slopes	
Fremont County	54	Zook silty clay loam, 0 to 2 percent slopes, occasionally flooded	67
Fremont County	54+	Zook silt loam, 0 to 2 percent slopes, occasionally flooded, overwash	69
Fremont County	60C2	Malvern silty clay loam, 5 to 9 percent slopes, moderately eroded	28
Fremont County	60D	Malvern silty clay loam, 9 to 14 percent slopes	5
Fremont County	60D2	Malvern silty clay loam, 9 to 14 percent slopes, moderately eroded	5
Fremont County	60D3	Malvern soils, 9 to 14 percent slopes, severely eroded	5
Fremont County	66	Luton silty clay	58
Fremont County	66+	Luton silt loam, overwash	52
Fremont County	67	Woodbury silty clay	64
Fremont County	70	McPaul silt loam	71
